"AX2"	"AX3"	"AX4"	"AX5"	"DPS1"	"DPS2"	"DPS3"	"DPS4"	"DPS5"	"DVM1"	"DVM2"	"DVM4"	"DVM5"	"DVM6"
"Sro1010_g230840.1"	0	1	0	7	0	0	2	0	0	0	0	0	0	5
"Sro1010_g230850.1"	3	3	8	9	16	11	1	3	7	0	4	0	0	7
"Sro1010_g230860.1"	7	1	9	15	13	4	3	4	1	5	5	6	0	4
"Sro1010_g230870.1"	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1010_g230880.1"	18	4	32	42	10	13	9	6	51	2	24	16	10	74
"Sro1010_g230890.1"	71	50	201	76	30	29	47	16	35	15	31	18	30	41
"Sro1010_g230900.1"	17	13	29	58	15	20	10	6	18	5	8	1	1	5
"Sro1010_g230910.1"	0	0	0	19	0	1	2	12	0	3	4	0	0	1
"Sro1010_g230920.1"	15	12	55	29	6	7	1	5	5	0	0	1	0	0
"Sro1010_g230930.1"	9	7	28	30	15	9	6	1	25	5	1	6	6	13
"Sro1010_g230940.1"	17	27	20	63	36	18	8	17	38	7	24	7	8	42
"Sro1010_g230950.1"	13	0	11	5	9	13	0	0	1	0	2	5	6	10
"Sro1011_g230960.1"	3	6	5	17	0	2	0	0	1	0	0	0	4	5
"Sro1011_g230970.1"	0	0	7	2	3	0	2	0	5	0	0	0	0	0
"Sro1011_g230980.1"	16	14	24	52	74	39	12	42	50	9	20	7	4	49
"Sro1011_g230990.1"	12	12	28	62	25	9	2	19	16	0	1	12	0	36
"Sro1011_g231000.1"	23	10	25	50	27	24	17	13	34	2	29	1	12	61
"Sro1011_g231010.1"	0	1	0	3	0	0	0	0	0	0	0	0	0	0
"Sro1011_g231020.1"	0	1	17	7	0	11	0	6	15	0	3	0	0	6
"Sro1011_g231030.1"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Sro1011_g231040.1"	9	2	0	9	1	10	0	2	4	0	0	0	7	7
"Sro1011_g231050.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1011_g231060.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1011_g231070.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1011_g231080.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1011_g231090.1"	14	5	38	15	32	1	1	3	3	4	2	5	6	12
"Sro1011_g231100.1"	16	9	18	12	13	0	1	3	4	0	8	0	10	0
"Sro1011_g231110.1"	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"Sro1011_g231120.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1012_g231130.1"	30	13	0	15	0	9	9	3	0	0	0	2	0	0
"Sro1012_g231140.1"	3	4	5	2	0	0	0	0	6	0	1	0	0	0
"Sro1012_g231150.1"	153	144	401	329	532	210	149	177	232	68	56	68	26	244
"Sro1012_g231160.1"	7	6	27	15	4	0	2	3	10	0	0	4	0	1
"Sro1012_g231170.1"	33	25	88	86	62	66	21	24	57	2	16	21	17	50
"Sro1012_g231180.1"	5	0	37	11	5	8	1	0	11	0	0	12	0	2
"Sro1012_g231180.2"	8	0	0	0	0	0	0	0	0	4	0	0	0	0
"Sro1012_g231190.1"	259	191	499	652	380	302	114	172	332	95	77	82	61	351
"Sro1012_g231200.1"	59	17	47	68	10	4	10	14	19	0	5	4	9	3
"Sro1012_g231210.1"	8	0	15	20	8	13	6	3	16	0	0	6	4	2
"Sro1012_g231220.1"	10	15	61	35	37	24	14	28	32	9	11	2	7	48
"Sro1012_g231230.1"	4	14	16	19	8	0	0	0	8	0	3	4	0	4
"Sro1012_g231240.1"	12	11	6	8	11	9	0	4	5	0	0	10	0	2
"Sro1012_g231250.1"	2	0	1	4	0	0	0	2	9	0	0	0	0	2
"Sro1012_g231260.1"	1	3	0	5	0	0	0	0	6	0	4	0	4	7
"Sro1012_g231270.1"	11	6	17	11	4	11	0	1	5	0	0	0	2	9
"Sro1012_g231280.1"	15	7	14	2	0	0	3	6	12	6	0	0	0	0
"Sro1013_g231290.1"	2	1	0	13	0	0	0	0	1	0	0	4	0	5
"Sro1013_g231300.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1013_g231300.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1013_g231310.1"	19	16	39	111	14	33	16	28	95	12	14	0	0	8
"Sro1013_g231311.1"	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"Sro1013_g231320.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1013_g231330.1"	106	70	183	301	84	100	55	52	151	11	88	40	43	107
"Sro1013_g231340.1"	0	10	5	9	0	7	3	12	33	0	5	4	6	11
"Sro1013_g231341.1"	0	0	1	0	2	0	2	0	0	0	1	0	0	1
"Sro1013_g231350.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1013_g231360.1"	1	0	1	7	9	0	0	0	2	0	0	0	0	3
"Sro1014_g231370.1"	422	249	948	751	602	273	115	151	381	77	147	158	47	214
"Sro1014_g231380.1"	12	1	0	7	5	0	0	0	0	0	0	0	2	1
"Sro1014_g231390.1"	0	0	0	0	0	0	0	9	0	0	0	0	0	0
"Sro1014_g231400.1"	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"Sro1014_g231410.1"	38	40	113	115	54	42	29	42	68	0	23	6	10	27
"Sro1014_g231420.1"	12	17	28	30	39	20	25	7	54	0	7	10	4	10
"Sro1014_g231430.1"	0	0	0	0	5	0	0	0	0	0	0	0	0	0
"Sro1014_g231440.1"	2	3	3	2	0	5	0	1	1	0	0	3	0	5
"Sro1014_g231450.1"	58	21	82	88	40	25	8	28	63	0	10	16	0	17
"Sro1014_g231460.1"	8	3	7	14	15	26	6	8	12	5	0	2	13	12
"Sro1015_g231470.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1015_g231480.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1015_g231490.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1015_g231500.1"	3	6	3	1	9	2	0	4	4	0	3	0	0	6
"Sro1015_g231510.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1015_g231520.1"	0	0	0	0	0	0	0	5	5	0	0	0	0	0
"Sro1015_g231521.1"	0	0	1	6	21	12	38	31	5	0	1	4	0	8
"Sro1015_g231530.1"	43	43	75	140	151	73	28	66	86	19	22	18	5	113
"Sro1015_g231531.1"	0	0	5	0	0	0	0	0	0	0	0	0	0	0
"Sro1015_g231540.1"	12	2	11	10	1	3	2	0	0	1	12	0	0	6
"Sro1015_g231550.1"	21	1	8	1	7	2	0	0	3	0	2	1	0	8
"Sro1015_g231560.1"	0	5	0	3	7	5	2	6	4	0	0	0	0	2
"Sro1015_g231570.1"	115	60	145	172	81	43	20	24	83	0	6	12	4	19
"Sro1015_g231580.1"	35	27	85	101	14	11	14	30	55	4	1	8	15	23
"Sro1016_g231590.1"	0	0	0	0	10	0	0	0	0	0	0	0	0	0
"Sro1016_g231600.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1016_g231610.1"	24	4	3	52	177	53	109	34	26	21	51	21	35	210
"Sro1016_g231620.1"	128	90	219	220	201	88	53	63	119	26	39	42	17	107
"Sro1016_g231630.1"	0	0	0	0	0	0	0	0	0	5	0	0	0	0
"Sro1016_g231640.1"	4	2	0	6	0	0	0	0	0	0	0	1	0	1
"Sro1016_g231650.1"	0	2	0	0	5	0	0	0	0	0	0	0	0	0
"Sro1016_g231660.1"	3	1	0	5	0	0	2	0	4	0	0	0	0	4
"Sro1017_g231670.1"	4	0	0	2	0	0	0	3	0	0	0	1	0	0
"Sro1017_g231680.1"	6	1	10	2	1	2	0	1	5	5	0	0	0	1
"Sro1017_g231690.1"	6	3	8	5	8	8	3	1	4	3	0	1	0	4
"Sro1017_g231700.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1017_g231710.1"	0	4	6	8	0	0	2	4	0	0	0	0	0	0
"Sro1017_g231720.1"	3	10	32	7	14	8	3	7	13	4	0	9	0	0
"Sro1017_g231730.1"	22	13	25	30	10	17	0	7	19	9	9	4	10	23
"Sro1017_g231740.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1017_g231750.1"	5	20	4	17	35	25	4	0	22	0	15	11	4	4
"Sro1017_g231760.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1017_g231770.1"	3	3	25	15	1	2	0	2	2	4	4	0	0	1
"Sro1017_g231780.1"	60	24	40	125	78	78	27	31	71	1	6	17	8	43
"Sro1017_g231790.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1017_g231800.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1017_g231810.1"	5	4	2	14	0	0	2	4	0	0	8	0	1	4
"Sro1018_g231820.1"	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Sro1018_g231830.1"	58	60	114	164	158	72	35	58	86	38	70	31	18	91
"Sro1018_g231840.1"	400	242	713	729	647	327	125	215	497	105	275	160	66	266
"Sro1018_g231850.1"	4	8	21	64	14	17	1	12	17	4	4	0	6	39
"Sro1018_g231860.1"	11	16	45	38	9	6	1	2	12	0	2	0	1	4
"Sro1018_g231870.1"	0	0	3	2	0	0	0	0	2	5	2	0	0	0
"Sro1018_g231880.1"	24	30	58	40	70	26	3	6	17	13	17	15	0	0
"Sro1018_g231890.1"	7	12	21	28	12	8	2	5	27	10	17	8	4	28
"Sro1018_g231900.1"	4	0	0	0	0	0	0	0	0	0	0	0	0	1
"Sro1018_g231910.1"	14	12	91	34	54	2	13	10	33	0	4	2	9	7
"Sro1018_g231920.1"	0	0	0	0	3	0	0	0	1	0	0	0	0	1
"Sro1019_g231930.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1019_g231940.1"	0	0	15	8	0	5	0	0	0	0	0	0	0	0
"Sro1019_g231950.1"	82	74	159	259	96	47	55	36	88	24	26	43	16	149
"Sro1019_g231960.1"	44	22	34	85	36	53	13	11	27	0	3	10	14	34
"Sro1019_g231970.1"	18	15	80	52	91	18	15	33	51	0	9	25	0	44
"Sro1019_g231970.2"	7	0	0	13	11	0	0	11	13	5	0	0	0	0
"Sro1019_g231980.1"	20	31	69	94	52	16	18	12	44	13	18	7	12	31
"Sro1019_g231990.1"	12	10	8	20	7	2	5	5	7	0	0	0	1	1
"Sro1019_g232000.1"	4	0	6	17	1	0	0	0	0	0	0	0	0	1
"Sro1019_g232010.1"	6	9	13	15	5	17	0	5	11	4	0	0	4	9
"Sro1019_g232020.1"	9	13	17	6	25	10	2	3	1	0	7	9	2	0
"Sro1019_g232030.1"	15	19	28	40	30	6	5	33	30	4	11	7	9	12
"Sro1019_g232040.1"	53	14	44	124	97	19	20	30	19	1	24	12	9	50
"Sro1019_g232050.1"	4	4	23	15	9	11	12	9	8	0	4	0	0	8
"Sro101_g051440.1"	6	0	21	9	0	12	2	1	7	0	4	1	0	9
"Sro101_g051450.1"	4	0	16	18	10	0	2	0	5	0	4	3	1	8
"Sro101_g051460.1"	38	22	73	124	58	15	16	12	53	24	24	21	7	89
"Sro101_g051470.1"	7	0	0	6	0	0	0	0	0	0	1	0	0	1
"Sro101_g051480.1"	12	13	24	32	6	6	12	3	6	2	16	13	4	6
"Sro101_g051490.1"	0	1	2	9	1	3	1	0	0	0	0	0	0	0
"Sro101_g051500.1"	35	29	133	154	84	26	34	58	81	10	36	32	16	149
"Sro101_g051510.1"	9	11	24	47	3	17	11	8	38	1	6	7	7	15
"Sro101_g051520.1"	29	23	56	113	43	44	21	29	83	1	32	26	5	51
"Sro101_g051530.1"	13	5	20	57	10	11	9	13	22	6	14	8	2	23
"Sro101_g051540.1"	4	0	0	9	0	0	0	0	5	0	0	0	0	0
"Sro101_g051550.1"	8	6	13	5	8	0	4	4	10	0	0	0	0	0
"Sro101_g051560.1"	1	0	18	12	1	3	1	7	8	0	3	1	2	22
"Sro101_g051570.1"	0	0	0	0	10	0	0	0	0	0	0	0	0	0
"Sro101_g051580.1"	9	12	27	15	5	6	2	15	28	0	2	0	2	11
"Sro101_g051590.1"	82	113	137	356	251	133	82	137	169	57	70	17	31	324
"Sro101_g051600.1"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Sro101_g051610.1"	6	0	8	44	19	8	15	21	24	0	5	1	11	32
"Sro101_g051620.1"	34	21	39	42	18	18	9	30	41	0	5	0	4	19
"Sro101_g051630.1"	10	15	27	58	9	15	16	14	26	1	3	0	10	14
"Sro101_g051640.1"	40	26	130	133	84	72	56	49	139	17	11	39	6	60
"Sro101_g051640.2"	0	2	9	12	0	29	0	0	4	8	0	0	4	7
"Sro101_g051650.1"	6	8	7	47	4	5	2	11	18	0	0	8	2	20
"Sro101_g051660.1"	13	5	0	24	18	2	1	4	1	4	0	0	0	5
"Sro101_g051670.1"	0	2	0	9	6	5	0	3	0	0	0	0	0	0
"Sro101_g051680.1"	21	11	20	12	0	16	3	4	10	11	1	1	2	1
"Sro101_g051690.1"	4	0	0	0	0	0	0	0	0	0	0	0	0	1
"Sro101_g051700.1"	5	0	0	0	0	0	0	0	0	0	0	0	1	0
"Sro101_g051710.1"	0	3	19	9	29	7	0	5	0	0	0	3	0	5
"Sro101_g051720.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro101_g051730.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro101_g051740.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro101_g051750.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro101_g051760.1"	19	15	63	50	81	5	6	9	6	0	0	6	0	6
"Sro101_g051770.1"	2	6	0	11	0	0	6	0	10	0	7	7	0	8
"Sro101_g051780.1"	103	26	70	108	67	95	35	43	78	11	13	31	18	54
"Sro101_g051790.1"	100	90	199	427	395	415	158	170	268	56	273	86	143	389
"Sro101_g051800.1"	76	23	69	207	200	139	93	87	164	52	46	19	87	199
"Sro101_g051810.1"	275	157	382	822	1056	922	432	424	808	229	820	249	265	948
